"First Name","Last Name","Email Address","Course","Activity","Activity Date"
"Student95","Student95","student95.student95@collin.edu","COSC24595","Answered Discussion Question","05-24-2024"
"Student96","Student96","student96.student96@collin.edu","COSC24596","Answered Discussion Question","05-24-2024"
"Student97","Student97","student97.student97@collin.edu","COSC24597","Answered Discussion Question","05-24-2024"
"Student98","Student98","student98.student98@collin.edu","COSC24598","Answered Discussion Question","05-24-2024"
"Student99","Student99","student99.student99@collin.edu","COSC24599","Answered Discussion Question","05-24-2024"
"Student100","Student100","student100.student100@collin.edu","COSC245100","Answered Discussion Question","05-24-2024"
"Student101","Student101","student101.student101@collin.edu","COSC245101","Sent Message to Professor","05-24-2024"
"Student102","Student102","student102.student102@collin.edu","COSC245102","Sent Message to Professor","05-24-2024"
"Student103","Student103","student103.student103@collin.edu","COSC245103","Sent Message to Professor","05-24-2024"
"Student104","Student104","student104.student104@collin.edu","COSC245104","Sent Message to Professor","05-24-2024"
"Student105","Student105","student105.student105@collin.edu","COSC245105","Sent Message to Professor","05-24-2024"
"Student106","Student106","student106.student106@collin.edu","COSC245106","Sent Message to Professor","05-24-2024"
"Student107","Student107","student107.student107@collin.edu","COSC245107","Sent Message to Professor","05-24-2024"
"Student108","Student108","student108.student108@collin.edu","COSC245108","Sent Message to Professor","05-24-2024"
"Student109","Student109","student109.student109@collin.edu","COSC245109","Sent Message to Professor","05-24-2024"
"Student110","Student110","student110.student110@collin.edu","COSC245110","Sent Message to Professor","05-24-2024"
"Student111","Student111","student111.student111@collin.edu","COSC245111","Sent Message to Professor","05-24-2024"
"Student112","Student112","student112.student112@collin.edu","COSC245112","Sent Message to Professor","05-24-2024"
"Student113","Student113","student113.student113@collin.edu","COSC245113","Sent Message to Professor","05-24-2024"
"Student114","Student114","student114.student114@collin.edu","COSC245114","Sent Message to Professor","05-24-2024"
"Student115","Student115","student115.student115@collin.edu","COSC245115","Sent Message to Professor","05-24-2024"
"Student116","Student116","student116.student116@collin.edu","COSC245116","Sent Message to Professor","05-24-2024"
"Student117","Student117","student117.student117@collin.edu","COSC245117","Sent Message to Professor","05-24-2024"
"Student118","Student118","student118.student118@collin.edu","COSC245118","Sent Message to Professor","05-24-2024"
"Student119","Student119","student119.student119@collin.edu","COSC245119","Sent Message to Professor","05-24-2024"
"Student120","Student120","student120.student120@collin.edu","COSC245120","Sent Message to Professor","05-24-2024"
"Student121","Student121","student121.student121@collin.edu","COSC245121","Sent Message to Professor","05-24-2024"
"Student122","Student122","student122.student122@collin.edu","COSC245122","Sent Message to Professor","05-24-2024"
"Student123","Student123","student123.student123@collin.edu","COSC245123","Sent Message to Professor","05-24-2024"
"Student124","Student124","student124.student124@collin.edu","COSC245124","Sent Message to Professor","05-24-2024"
"Student125","Student125","student125.student125@collin.edu","COSC245125","Sent Message to Professor","05-24-2024"
"Student126","Student126","student126.student126@collin.edu","COSC245126","Sent Message to Professor","05-24-2024"
"Student127","Student127","student127.student127@collin.edu","COSC245127","Sent Message to Professor","05-24-2024"
"Student128","Student128","student128.student128@collin.edu","COSC245128","Sent Message to Professor","05-24-2024"
"Student129","Student129","student129.student129@collin.edu","COSC245129","Sent Message to Professor","05-24-2024"
"Student130","Student130","student130.student130@collin.edu","COSC245130","Sent Message to Professor","05-24-2024"
"Student131","Student131","student131.student131@collin.edu","COSC245131","Sent Message to Professor","05-24-2024"
"Student132","Student132","student132.student132@collin.edu","COSC245132","Sent Message to Professor","05-24-2024"
"Student133","Student133","student133.student133@collin.edu","COSC245133","Sent Message to Professor","05-24-2024"
"Student134","Student134","student134.student134@collin.edu","COSC245134","Sent Message to Professor","05-24-2024"
"Student135","Student135","student135.student135@collin.edu","COSC245135","Sent Message to Professor","05-24-2024"
"Student136","Student136","student136.student136@collin.edu","COSC245136","Sent Message to Professor","05-24-2024"
"Student137","Student137","student137.student137@collin.edu","COSC245137","Sent Message to Professor","05-24-2024"
"Student138","Student138","student138.student138@collin.edu","COSC245138","Sent Message to Professor","05-24-2024"
"Student139","Student139","student139.student139@collin.edu","COSC245139","Sent Message to Professor","05-24-2024"
"Student140","Student140","student140.student140@collin.edu","COSC245140","Sent Message to Professor","05-24-2024"
"Student141","Student141","student141.student141@collin.edu","COSC245141","Sent Message to Professor","05-24-2024"
"Student142","Student142","student142.student142@collin.edu","COSC245142","Sent Message to Professor","05-24-2024"
"Student143","Student143","student143.student143@collin.edu","COSC245143","Sent Message to Professor","05-24-2024"
"Student144","Student144","student144.student144@collin.edu","COSC245144","Sent Message to Professor","05-24-2024"
"Student145","Student145","student145.student145@collin.edu","COSC245145","Sent Message to Professor","05-24-2024"
"Student146","Student146","student146.student146@collin.edu","COSC245146","Sent Message to Professor","05-24-2024"
"Student147","Student147","student147.student147@collin.edu","COSC245147","Sent Message to Professor","05-24-2024"
"Student148","Student148","student148.student148@collin.edu","COSC245148","Sent Message to Professor","05-24-2024"
"Student149","Student149","student149.student149@collin.edu","COSC245149","Sent Message to Professor","05-24-2024"
"Student150","Student150","student150.student150@collin.edu","COSC245150","Sent Message to Professor","05-24-2024"
"Student151","Student151","student151.student151@collin.edu","COSC245151","Sent Message to Professor","05-24-2024"
"Student152","Student152","student152.student152@collin.edu","COSC245152","Sent Message to Professor","05-24-2024"
"Student153","Student153","student153.student153@collin.edu","COSC245153","Sent Message to Professor","05-24-2024"
"Student154","Student154","student154.student154@collin.edu","COSC245154","Sent Message to Professor","05-24-2024"
"Student155","Student155","student155.student155@collin.edu","COSC245155","Sent Message to Professor","05-24-2024"
"Student156","Student156","student156.student156@collin.edu","COSC245156","Sent Message to Professor","05-24-2024"
"Student157","Student157","student157.student157@collin.edu","COSC245157","Sent Message to Professor","05-24-2024"
"Student158","Student158","student158.student158@collin.edu","COSC245158","Sent Message to Professor","05-24-2024"
"Student159","Student159","student159.student159@collin.edu","COSC245159","Sent Message to Professor","05-24-2024"
"Student160","Student160","student160.student160@collin.edu","COSC245160","Sent Message to Professor","05-24-2024"
"Student161","Student161","student161.student161@collin.edu","COSC245161","Sent Message to Professor","05-24-2024"
"Student162","Student162","student162.student162@collin.edu","COSC245162","Sent Message to Professor","05-24-2024"
"Student163","Student163","student163.student163@collin.edu","COSC245163","Sent Message to Professor","05-24-2024"
"Student164","Student164","student164.student164@collin.edu","COSC245164","Sent Message to Professor","05-24-2024"
"Student165","Student165","student165.student165@collin.edu","COSC245165","Sent Message to Professor","05-24-2024"
"Student166","Student166","student166.student166@collin.edu","COSC245166","Sent Message to Professor","05-24-2024"
"Student167","Student167","student167.student167@collin.edu","COSC245167","Sent Message to Professor","05-24-2024"
"Student168","Student168","student168.student168@collin.edu","COSC245168","Sent Message to Professor","05-24-2024"
"Student169","Student169","student169.student169@collin.edu","COSC245169","Sent Message to Professor","05-24-2024"
"Student170","Student170","student170.student170@collin.edu","COSC245170","Sent Message to Professor","05-24-2024"
"Student171","Student171","student171.student171@collin.edu","COSC245171","Sent Message to Professor","05-24-2024"
"Student172","Student172","student172.student172@collin.edu","COSC245172","Sent Message to Professor","05-24-2024"
"Student173","Student173","student173.student173@collin.edu","COSC245173","Sent Message to Professor","05-24-2024"
"Student174","Student174","student174.student174@collin.edu","COSC245174","Sent Message to Professor","05-24-2024"
"Student175","Student175","student175.student175@collin.edu","COSC245175","Sent Message to Professor","05-24-2024"
"Student176","Student176","student176.student176@collin.edu","COSC245176","Sent Message to Professor","05-24-2024"
"Student177","Student177","student177.student177@collin.edu","COSC245177","Sent Message to Professor","05-24-2024"
"Student178","Student178","student178.student178@collin.edu","COSC245178","Sent Message to Professor","05-24-2024"
"Student179","Student179","student179.student179@collin.edu","COSC245179","Sent Message to Professor","05-24-2024"
"Student180","Student180","student180.student180@collin.edu","COSC245180","Sent Message to Professor","05-24-2024"
"Student181","Student181","student181.student181@collin.edu","COSC245181","Sent Message to Professor","05-24-2024"
"Student182","Student182","student182.student182@collin.edu","COSC245182","Sent Message to Professor","05-24-2024"
"Student183","Student183","student183.student183@collin.edu","COSC245183","Sent Message to Professor","05-24-2024"
"Student184","Student184","student184.student184@collin.edu","COSC245184","Sent Message to Professor","05-24-2024"
"Student185","Student185","student185.student185@collin.edu","COSC245185","Sent Message to Professor","05-24-2024"
"Student186","Student186","student186.student186@collin.edu","COSC245186","Sent Message to Professor","05-24-2024"
"Student187","Student187","student187.student187@collin.edu","COSC245187","Sent Message to Professor","05-24-2024"
"Student188","Student188","student188.student188@collin.edu","COSC245188","Sent Message to Professor","05-24-2024"
"Student189","Student189","student189.student189@collin.edu","COSC245189","Sent Message to Professor","05-24-2024"
"Student190","Student190","student190.student190@collin.edu","COSC245190","Sent Message to Professor","05-24-2024"
"Student191","Student191","student191.student191@collin.edu","COSC245191","Sent Message to Professor","05-24-2024"
"Student192","Student192","student192.student192@collin.edu","COSC245192","Sent Message to Professor","05-24-2024"
"Student193","Student193","student193.student193@collin.edu","COSC245193","Sent Message to Professor","05-24-2024"
"Student194","Student194","student194.student194@collin.edu","COSC245194","Sent Message to Professor","05-24-2024"
"Student195","Student195","student195.student195@collin.edu","COSC245195","Sent Message to Professor","05-24-2024"
"Student196","Student196","student196.student196@collin.edu","COSC245196","Sent Message to Professor","05-24-2024"
"Student197","Student197","student197.student197@collin.edu","COSC245197","Sent Message to Professor","05-24-2024"
"Student198","Student198","student198.student198@collin.edu","COSC245198","Sent Message to Professor","05-24-2024"
"Student199","Student199","student199.student199@collin.edu","COSC245199","Sent Message to Professor","05-24-2024"
"Student200","Student200","student200.student200@collin.edu","COSC245200","Sent Message to Professor","05-24-2024"
"Student201","Student201","student201.student201@collin.edu","COSC245201","Sent Message to Professor","05-24-2024"
"Student202","Student202","student202.student202@collin.edu","COSC245202","Sent Message to Professor","05-24-2024"
"Student203","Student203","student203.student203@collin.edu","COSC245203","Sent Message to Professor","05-24-2024"
"Student204","Student204","student204.student204@collin.edu","COSC245204","Sent Message to Professor","05-24-2024"
"Student205","Student205","student205.student205@collin.edu","COSC245205","Sent Message to Professor","05-24-2024"
"Student206","Student206","student206.student206@collin.edu","COSC245206","Sent Message to Professor","05-24-2024"
"Student207","Student207","student207.student207@collin.edu","COSC245207","Sent Message to Professor","05-24-2024"
"Student208","Student208","student208.student208@collin.edu","COSC245208","Sent Message to Professor","05-24-2024"
"Student209","Student209","student209.student209@collin.edu","COSC245209","Sent Message to Professor","05-24-2024"
"Student210","Student210","student210.student210@collin.edu","COSC245210","Sent Message to Professor","05-24-2024"
"Student211","Student211","student211.student211@collin.edu","COSC245211","Sent Message to Professor","05-24-2024"
"Student212","Student212","student212.student212@collin.edu","COSC245212","Sent Message to Professor","05-24-2024"
"Student213","Student213","student213.student213@collin.edu","COSC245213","Sent Message to Professor","05-24-2024"
"Student214","Student214","student214.student214@collin.edu","COSC245214","Sent Message to Professor","05-24-2024"
"Student215","Student215","student215.student215@collin.edu","COSC245215","Sent Message to Professor","05-24-2024"
"Student216","Student216","student216.student216@collin.edu","COSC245216","Sent Message to Professor","05-24-2024"
"Student217","Student217","student217.student217@collin.edu","COSC245217","Sent Message to Professor","05-24-2024"
"Student218","Student218","student218.student218@collin.edu","COSC245218","Sent Message to Professor","05-24-2024"
"Student219","Student219","student219.student219@collin.edu","COSC245219","Sent Message to Professor","05-24-2024"
"Student220","Student220","student220.student220@collin.edu","COSC245220","Sent Message to Professor","05-24-2024"
"Student221","Student221","student221.student221@collin.edu","COSC245221","Submitted Test","05-24-2024"
"Student222","Student222","student222.student222@collin.edu","COSC245222","Submitted Test","05-24-2024"
"Student223","Student223","student223.student223@collin.edu","COSC245223","Submitted Test","05-24-2024"
"Student224","Student224","student224.student224@collin.edu","COSC245224","Submitted Test","05-24-2024"
"Student225","Student225","student225.student225@collin.edu","COSC245225","Submitted Test","05-24-2024"
"Student226","Student226","student226.student226@collin.edu","COSC245226","Submitted Test","05-24-2024"
"Student227","Student227","student227.student227@collin.edu","COSC245227","Submitted Test","05-24-2024"
"Student228","Student228","student228.student228@collin.edu","COSC245228","Submitted Test","05-24-2024"
"Student229","Student229","student229.student229@collin.edu","COSC245229","Submitted Test","05-24-2024"
"Student230","Student230","student230.student230@collin.edu","COSC245230","Submitted Test","05-24-2024"
"Student231","Student231","student231.student231@collin.edu","COSC245231","Submitted Test","05-24-2024"
"Student232","Student232","student232.student232@collin.edu","COSC245232","Submitted Test","05-24-2024"
"Student233","Student233","student233.student233@collin.edu","COSC245233","Submitted Test","05-24-2024"
"Student234","Student234","student234.student234@collin.edu","COSC245234","Submitted Test","05-24-2024"
"Student235","Student235","student235.student235@collin.edu","COSC245235","Submitted Test","05-24-2024"
"Student236","Student236","student236.student236@collin.edu","COSC245236","Submitted Test","05-24-2024"
"Student237","Student237","student237.student237@collin.edu","COSC245237","Submitted Test","05-24-2024"
"Student238","Student238","student238.student238@collin.edu","COSC245238","Submitted Test","05-24-2024"
"Student239","Student239","student239.student239@collin.edu","COSC245239","Submitted Test","05-24-2024"
"Student240","Student240","student240.student240@collin.edu","COSC245240","Submitted Test","05-24-2024"
"Student241","Student241","student241.student241@collin.edu","COSC245241","Submitted Test","05-24-2024"
"Student242","Student242","student242.student242@collin.edu","COSC245242","Submitted Test","05-24-2024"
"Student243","Student243","student243.student243@collin.edu","COSC245243","Submitted Test","05-24-2024"
"Student244","Student244","student244.student244@collin.edu","COSC245244","Submitted Test","05-24-2024"
"Student245","Student245","student245.student245@collin.edu","COSC245245","Submitted Test","05-24-2024"
"Student246","Student246","student246.student246@collin.edu","COSC245246","Submitted Test","05-24-2024"
"Student247","Student247","student247.student247@collin.edu","COSC245247","Submitted Test","05-24-2024"
"Student248","Student248","student248.student248@collin.edu","COSC245248","Submitted Test","05-24-2024"
"Student249","Student249","student249.student249@collin.edu","COSC245249","Submitted Test","05-24-2024"
"Student250","Student250","student250.student250@collin.edu","COSC245250","Submitted Test","05-24-2024"
"Student251","Student251","student251.student251@collin.edu","COSC245251","Submitted Test","05-24-2024"
"Student252","Student252","student252.student252@collin.edu","COSC245252","Submitted Test","05-24-2024"
"Student253","Student253","student253.student253@collin.edu","COSC245253","Submitted Test","05-24-2024"
"Student254","Student254","student254.student254@collin.edu","COSC245254","Submitted Test","05-24-2024"
"Student255","Student255","student255.student255@collin.edu","COSC245255","Submitted Test","05-24-2024"
"Student256","Student256","student256.student256@collin.edu","COSC245256","Submitted Test","05-24-2024"
"Student257","Student257","student257.student257@collin.edu","COSC245257","Submitted Test","05-24-2024"
"Student258","Student258","student258.student258@collin.edu","COSC245258","Submitted Test","05-24-2024"
"Student259","Student259","student259.student259@collin.edu","COSC245259","Submitted Test","05-24-2024"
"Student260","Student260","student260.student260@collin.edu","COSC245260","Submitted Test","05-24-2024"
"Student261","Student261","student261.student261@collin.edu","COSC245261","Submitted Test","05-24-2024"
"Student262","Student262","student262.student262@collin.edu","COSC245262","Submitted Test","05-24-2024"
"Student263","Student263","student263.student263@collin.edu","COSC245263","Submitted Test","05-24-2024"
"Student264","Student264","student264.student264@collin.edu","COSC245264","Submitted Test","05-24-2024"
"Student265","Student265","student265.student265@collin.edu","COSC245265","Submitted Test","05-24-2024"
"Student266","Student266","student266.student266@collin.edu","COSC245266","Submitted Test","05-24-2024"
"Student267","Student267","student267.student267@collin.edu","COSC245267","Submitted Test","05-24-2024"
"Student268","Student268","student268.student268@collin.edu","COSC245268","Submitted Test","05-24-2024"
"Student269","Student269","student269.student269@collin.edu","COSC245269","Submitted Test","05-24-2024"
"Student270","Student270","student270.student270@collin.edu","COSC245270","Submitted Test","05-24-2024"
"Student271","Student271","student271.student271@collin.edu","COSC245271","Submitted Test","05-24-2024"
"Student272","Student272","student272.student272@collin.edu","COSC245272","Submitted Test","05-24-2024"
"Student273","Student273","student273.student273@collin.edu","COSC245273","Submitted Test","05-24-2024"
"Student274","Student274","student274.student274@collin.edu","COSC245274","Submitted Test","05-24-2024"
"Student275","Student275","student275.student275@collin.edu","COSC245275","Submitted Test","05-24-2024"
"Student276","Student276","student276.student276@collin.edu","COSC245276","Submitted Test","05-24-2024"
"Student277","Student277","student277.student277@collin.edu","COSC245277","Submitted Test","05-24-2024"
"Student278","Student278","student278.student278@collin.edu","COSC245278","Submitted Test","05-24-2024"
"Student279","Student279","student279.student279@collin.edu","COSC245279","Submitted Test","05-24-2024"
"Student280","Student280","student280.student280@collin.edu","COSC245280","Submitted Test","05-24-2024"
"Student281","Student281","student281.student281@collin.edu","COSC245281","Submitted Test","05-24-2024"
"Student282","Student282","student282.student282@collin.edu","COSC245282","Submitted Test","05-24-2024"
"Student283","Student283","student283.student283@collin.edu","COSC245283","Submitted Test","05-24-2024"
"Student284","Student284","student284.student284@collin.edu","COSC245284","Submitted Test","05-24-2024"
"Student285","Student285","student285.student285@collin.edu","COSC245285","Submitted Test","05-24-2024"
"Student286","Student286","student286.student286@collin.edu","COSC245286","Submitted Test","05-24-2024"
"Student287","Student287","student287.student287@collin.edu","COSC245287","Submitted Test","05-24-2024"
"Student288","Student288","student288.student288@collin.edu","COSC245288","Submitted Test","05-24-2024"
"Student289","Student289","student289.student289@collin.edu","COSC245289","Submitted Test","05-24-2024"
"Student290","Student290","student290.student290@collin.edu","COSC245290","Submitted Test","05-24-2024"
"Student291","Student291","student291.student291@collin.edu","COSC245291","Submitted Test","05-24-2024"
"Student292","Student292","student292.student292@collin.edu","COSC245292","Submitted Test","05-24-2024"
"Student293","Student293","student293.student293@collin.edu","COSC245293","Submitted Test","05-24-2024"
"Student294","Student294","student294.student294@collin.edu","COSC245294","Submitted Test","05-24-2024"
"Student295","Student295","student295.student295@collin.edu","COSC245295","Submitted Test","05-24-2024"
"Student296","Student296","student296.student296@collin.edu","COSC245296","Submitted Test","05-24-2024"
"Student297","Student297","student297.student297@collin.edu","COSC245297","Submitted Test","05-24-2024"
"Student298","Student298","student298.student298@collin.edu","COSC245298","Submitted Test","05-24-2024"
"Student299","Student299","student299.student299@collin.edu","COSC245299","Submitted Test","05-24-2024"
"Student300","Student300","student300.student300@collin.edu","COSC245300","Submitted Test","05-24-2024"
"Student301","Student301","student301.student301@collin.edu","COSC245301","Submitted Test","05-24-2024"
"Student302","Student302","student302.student302@collin.edu","COSC245302","Submitted Test","05-24-2024"
"Student303","Student303","student303.student303@collin.edu","COSC245303","Submitted Test","05-24-2024"
"Student304","Student304","student304.student304@collin.edu","COSC245304","Submitted Test","05-24-2024"
"Student305","Student305","student305.student305@collin.edu","COSC245305","Submitted Test","05-24-2024"
"Student306","Student306","student306.student306@collin.edu","COSC245306","Submitted Test","05-24-2024"
"Student307","Student307","student307.student307@collin.edu","COSC245307","Submitted Test","05-24-2024"
"Student308","Student308","student308.student308@collin.edu","COSC245308","Submitted Test","05-24-2024"
"Student309","Student309","student309.student309@collin.edu","COSC245309","Submitted Test","05-24-2024"
"Student310","Student310","student310.student310@collin.edu","COSC245310","Submitted Test","05-24-2024"
"Student311","Student311","student311.student311@collin.edu","COSC245311","Submitted Test","05-24-2024"
"Student312","Student312","student312.student312@collin.edu","COSC245312","Submitted Test","05-24-2024"
"Student313","Student313","student313.student313@collin.edu","COSC245313","Submitted Test","05-24-2024"
"Student314","Student314","student314.student314@collin.edu","COSC245314","Submitted Test","05-24-2024"
"Student315","Student315","student315.student315@collin.edu","COSC245315","Submitted Test","05-24-2024"
"Student316","Student316","student316.student316@collin.edu","COSC245316","Submitted Test","05-24-2024"
